DATE OF VISIT,COMPANY,LATITUDE,LONGITUDE,LOCATION,SECTOR,DESCRIPTION,ACTIVITY,DOCUMENT, PROCESSING FEES , PERMIT FEES , TOTAL , PAID / UNPAID ,STATUS,OFFICER,OFFICER,PERSONNEL,DRIVER
4-Apr-24,OKOAMPAH ERNEST LIMITED,,,AFIENYA,MANUFACTURING,PROPOSED MATERESS PRODUCTION FACILITY,SCREENING,FORM EA1," GHC 5,005.00 ",," GHC 5,005.00 ", PAID ,"ADDITIONAL INFORMATION, PAYMENT AND ZONING OUTSTANDING",KLENAM,FRED,MONTE,PATRICK
4-Apr-24,TENET & ROTAS FUNERAL HOMES,,,SHAI HILLS,HEALTHCARE,EXISTING MORGUE FACILITY,VERIFICATION,AER," GHC 2,875.00 "," GHC 1,500.00 "," GHC 4,375.00 ", PAID ,TRC,KLENAM,FRED,MONTE,PATRICK
4-Apr-24,AGNES GALIMAH,,,AFIENYA,GENERAL CONSTRUCTION,"PROPOSED 3-STOREY, 6-UNIT RESIDENTIAL APARTMENTS PROJECT",SCREENING,FORM EA1, GHC 755.00 ," GHC 1,800.00 "," GHC 2,555.00 ",PAID,SITE PLAN OUTSTANDING,KLENAM,FRED,MONTE,PATRICK
4-Apr-24,HEALTH ATTITUDE FOUNDATION,,,DODOWA,PESTICIDES,PROPOSED COMMERCIAL APPLICATION,SCREENING,APPLICATION FORM,," GHC 1,020.00 "," GHC 1,020.00 ",PAID,CCMC CERTIFICATION PENDING,KLENAM,FRED,MONTE,PATRICK
5-Apr-24,DR PHILIP NARH,,,TSOPOLI,HEALTHCARE,PROPOSED 35-BODY CAPACITY MORTUARY,SCREENING,FORM EA 1," GHC 1,725.00 "," GHC 2,875.00 "," GHC 4,600.00 ",UNPAID,PAYMENT RECEIPT PENDING,HANNAH,FRED,NELSON,PATRICK
5-Apr-24,REHOBOTH WELLS COMPANY LIMITED,,,DAWA,MANUFACTURING,EXISTING SACHET WATER PRODUCTION FACILITY,VERIFICATION,AER, GHC 300.00 , GHC 500.00 , GHC 800.00 ,PAID,PERMITTED,HANNAH,FRED,NELSON,
5-Apr-24,B&M COCOA RECYCLING COMPANY LIMITED,5.829412,0.312068,DAWA,MANUFACTURING,PROPOSED COCOA RECYCLING PLANT PROJECT,SCREENING,FORM EA1,,, GHC -   , UNPAID ,PER PENDING,HANNAH,FRED,NELSON,PATRICK
17-Apr-24,HIGH INTERNATIONAL STANDARD SCHOOL,5.77312,-0.0072,MATAHEKO-AFIENYA,GENERAL CONSTRUCTION,PROPOSED SCHOOL BUILDING PROJECT,SCREENING,FORM EA1," GHC 1,505.00 "," GHC 5,000.00 "," GHC 6,505.00 ",UNPAID,PAYMENT RECEIPT PENDING,HANNAH,MONTE,EUNICE,ALBERT
17-Apr-24,WAROOM MANUFACTURING & TRADING LIMITED,5.810226,0.026923,SHAI HILLS,MANUFACTURING,PROPOSED ROOFING SHEETS MANUFACTURING PLANT PROJECT,SCREENING,FORM EA1," GHC 5,000.00 ",," GHC 5,000.00 ",UNPAID,PAYMENT RECEIPT PENDING,HANNAH,MONTE,EUNICE,ALBERT
17-Apr-24,BRIGHT ELECTRICAL ,5.825936,0.031497,SHAI HILLS,MANUFACTURING,EXISTING REFIGERATOR ASSEMBLY PROJECT,SCREENING,FORM EA1," GHC 3,455.00 ",," GHC 3,455.00 ",UNPAID,PAYMENT RECEIPT PENDING,HANNAH,MONTE,EUNICE,ALBERT
